Experiment: 220627_melting_cgre_50acq-deg_urea2M  Selected Filter: SYBR Green I / HRM Dye (465-510)
Include	Color	Pos	Name	Tm1	Tm2	Status
True	255	A1	2880	80.20		
True	255	A2	3224	75.43		
True	255	A3	83	73.92		
True	16744448	A4	121			
True	255	A5	900	77.88		
True	255	A6	911	72.96		
True	255	A7	13	78.57		
True	3200768	A8	567	60.72	72.45	
True	255	A9	575	76.56		
True	255	A10	1414	76.25		
True	255	A11	985	90.31		
True	255	A12	626	73.60		
True	255	B1	2880	80.25		
True	255	B2	3224	75.38		
True	255	B3	83	73.61		
True	16744448	B4	121			
True	255	B5	900	78.51		
True	255	B6	911	72.74		
True	255	B7	13	78.56		
True	255	B8	567	72.37		
True	255	B9	575	76.73		
True	255	B10	1414	76.17		
True	255	B11	985	90.52		
True	255	B12	626	73.26		
True	255	C1	2880	79.98		
True	255	C2	3224	75.00		
True	255	C3	83	73.97		
True	16744448	C4	121			
True	255	C5	900	78.06		
True	255	C6	911	72.66		
True	255	C7	13	78.66		
True	255	C8	567	72.27		
True	255	C9	575	76.73		
True	255	C10	1414	76.02		
True	255	C11	985	90.91		
True	255	C12	626	73.44		
True	255	D1	2880	80.30		
True	255	D2	3224	75.50		
True	255	D3	83	74.08		
True	16744448	D4	121			
True	255	D5	900	78.18		
True	255	D6	911	72.60		
True	255	D7	13	78.76		
True	255	D8	567	72.20		
True	255	D9	575	76.67		
True	255	D10	1414	75.90		
True	255	D11	985	91.12		
True	255	D12	626	73.60		
True	255	E1	2880	80.28		
True	255	E2	3224	75.44		
True	255	E3	83	73.92		
True	16744448	E4	121			
True	255	E5	900	77.97		
True	255	E6	911	65.17		
True	255	E7	13	78.56		
True	255	E8	567	72.11		
True	255	E9	575	76.75		
True	255	E10	1414	75.97		
True	255	E11	985	91.53		
True	255	E12	626	72.37		
True	255	F1	1338	71.83		
True	255	F2	1338	71.84		
True	255	F3	1338	71.90		
True	255	F4	1338	71.83		
True	255	F5	1338	71.83		
True	255	F6	9708	80.49		
True	255	F7	9708	80.54		
True	255	F8	9708	80.60		
True	255	F9	9708	80.62		
True	255	F10	9708	80.63		
True	16744448	F11	Sample 71			
True	16744448	F12	Sample 72			
True	255	G1	4111	78.16		
True	255	G2	4111	78.15		
True	255	G3	4111	78.08		
True	255	G4	4111	78.22		
True	255	G5	4111	78.18		
True	255	G6	wt	73.52		
True	255	G7	wt	73.57		
True	255	G8	wt	73.57		
True	255	G9	wt	73.64		
True	255	G10	wt	73.60		
True	16744448	G11	Sample 83			
True	16744448	G12	Sample 84			
True	255	H1	132	79.47		
True	255	H2	132	79.46		
True	255	H3	132	79.50		
True	255	H4	132	79.49		
True	255	H5	132	79.44		
True	16744448	H6	blank			
True	16744448	H7	blank			
True	16744448	H8	blank			
True	16744448	H9	blank			
True	16744448	H10	blank			
True	16744448	H11	Sample 95			
True	16744448	H12	Sample 96			
