Experiment: 220627_melting_cgre_50acq-deg_urea1M  Selected Filter: SYBR Green I / HRM Dye (465-510)
Include	Color	Pos	Name	Tm1	Tm2	Status
True	255	A1	2880	81.97		
True	255	A2	3224	77.36		
True	255	A3	83	76.39		
True	16744448	A4	121			
True	255	A5	900	81.19		
True	3200768	A6	911	64.24	75.45	
True	255	A7	13	80.45		
True	3200768	A8	567	63.80	75.38	
True	255	A9	575	78.60		
True	255	A10	1414	68.62		
True	255	A11	985	92.56		
True	255	A12	626	63.94		
True	255	B1	2880	82.02		
True	255	B2	3224	77.35		
True	255	B3	83	76.34		
True	16744448	B4	121			
True	255	B5	900	81.15		
True	255	B6	911	75.53		
True	255	B7	13	80.62		
True	255	B8	567	75.36		
True	255	B9	575	78.56		
True	255	B10	1414	78.70		
True	255	B11	985	92.42		
True	255	B12	626	75.55		
True	255	C1	2880	82.04		
True	255	C2	3224	77.38		
True	255	C3	83	76.42		
True	16744448	C4	121			
True	255	C5	900	55.23		
True	255	C6	911	75.37		
True	255	C7	13	80.57		
True	3200768	C8	567	63.15	75.21	
True	255	C9	575	78.50		
True	255	C10	1414	57.93		
True	255	C11	985	88.33		
True	255	C12	626	77.40		
True	255	D1	2880	82.06		
True	255	D2	3224	77.48		
True	255	D3	83	76.46		
True	16744448	D4	121			
True	255	D5	900	81.41		
True	255	D6	911	75.56		
True	255	D7	13	80.53		
True	255	D8	567	75.17		
True	255	D9	575	78.62		
True	255	D10	1414	57.75		
True	255	D11	985	88.33		
True	255	D12	626	75.75		
True	255	E1	2880	82.03		
True	255	E2	3224	77.41		
True	255	E3	83	76.40		
True	16744448	E4	121			
True	255	E5	900	80.39		
True	255	E6	911	75.31		
True	255	E7	13	80.49		
True	255	E8	567	75.20		
True	255	E9	575	78.49		
True	255	E10	1414	78.21		
True	255	E11	985	92.69		
True	255	E12	626	76.26		
True	255	F1	1338	73.78		
True	255	F2	1338	73.76		
True	255	F3	1338	73.78		
True	255	F4	1338	73.82		
True	255	F5	1338	73.81		
True	255	F6	9708	82.39		
True	255	F7	9708	82.42		
True	255	F8	9708	82.50		
True	255	F9	9708	82.50		
True	255	F10	9708	82.47		
True	16744448	F11	Sample 71			
True	16744448	F12	Sample 72			
True	255	G1	4111	79.95		
True	255	G2	4111	79.89		
True	255	G3	4111	79.88		
True	255	G4	4111	79.90		
True	255	G5	4111	79.90		
True	255	G6	wt	75.41		
True	255	G7	wt	75.48		
True	255	G8	wt	75.50		
True	255	G9	wt	75.52		
True	255	G10	wt	75.45		
True	16744448	G11	Sample 83			
True	16744448	G12	Sample 84			
True	255	H1	132	81.43		
True	255	H2	132	81.35		
True	255	H3	132	81.38		
True	255	H4	132	81.39		
True	255	H5	132	81.42		
True	16744448	H6	blank			
True	16744448	H7	blank			
True	16744448	H8	blank			
True	16744448	H9	blank			
True	16744448	H10	blank			
True	16744448	H11	Sample 95			
True	16744448	H12	Sample 96			
