Experiment: 220630_melting_cgre_50acq-deg_urea4M  Selected Filter: SYBR Green I / HRM Dye (465-510)
Include	Color	Pos	Name	Tm1	Tm2	Status
True	255	A1	2880	76.66		
True	255	A2	3224	70.93		
True	255	A3	83	68.84		
True	255	A4	121	77.28		
True	255	A5	900	63.37		
True	3200768	A6	911	57.76	67.36	
True	255	A7	13	75.04		
True	255	A8	567	66.08		
True	255	A9	575	72.85		
True	255	A10	1414	71.37		
True	255	A11	985	86.52		
True	255	A12	626	62.08		
True	255	B1	2880	76.42		
True	255	B2	3224	70.92		
True	255	B3	83	68.79		
True	255	B4	121	83.70		
True	255	B5	900	62.80		
True	3200768	B6	911	57.24	67.23	
True	255	B7	13	74.90		
True	255	B8	567	66.11		
True	255	B9	575	72.90		
True	255	B10	1414	71.43		
True	255	B11	985	86.52		
True	255	B12	626	62.25		
True	255	C1	2880	76.31		
True	255	C2	3224	70.92		
True	255	C3	83	68.79		
True	255	C4	121	83.61		
True	255	C5	900	72.62		
True	3200768	C6	911	57.81	67.32	
True	255	C7	13	74.89		
True	3200768	C8	567	54.21	65.76	
True	255	C9	575	72.86		
True	255	C10	1414	71.24		
True	255	C11	985	86.44		
True	255	C12	626	62.31		
True	255	D1	2880	76.85		
True	255	D2	3224	71.00		
True	255	D3	83	68.89		
True	255	D4	121	84.17		
True	255	D5	900	72.94		
True	3200768	D6	911	57.21	67.25	
True	255	D7	13	75.01		
True	255	D8	567	66.06		
True	255	D9	575	72.90		
True	255	D10	1414	71.92		
True	255	D11	985	86.40		
True	255	D12	626	62.11		
True	255	E1	2880	76.44		
True	255	E2	3224	70.91		
True	255	E3	83	68.87		
True	255	E4	121	84.19		
True	255	E5	900	71.82		
True	255	E6	911	67.29		
True	255	E7	13	74.78		
True	255	E8	567	66.08		
True	255	E9	575	72.84		
True	255	E10	1414	71.49		
True	255	E11	985	86.13		
True	255	E12	626	62.15		
True	255	F1	1338	68.02		
True	255	F2	1338	68.00		
True	255	F3	1338	68.01		
True	255	F4	1338	68.04		
True	255	F5	1338	68.02		
True	255	F6	9708	76.27		
True	255	F7	9708	76.30		
True	255	F8	9708	76.35		
True	255	F9	9708	76.34		
True	255	F10	9708	76.41		
True	16744448	F11	Sample 71			
True	16744448	F12	Sample 72			
True	255	G1	4111	74.70		
True	255	G2	4111	74.80		
True	255	G3	4111	74.74		
True	255	G4	4111	74.83		
True	255	G5	4111	74.84		
True	255	G6	wt	69.73		
True	255	G7	wt	69.78		
True	255	G8	wt	69.78		
True	255	G9	wt	69.80		
True	255	G10	wt	69.76		
True	16744448	G11	Sample 83			
True	16744448	G12	Sample 84			
True	255	H1	132	75.42		
True	255	H2	132	75.48		
True	255	H3	132	75.48		
True	255	H4	132	75.50		
True	255	H5	132	74.98		
True	16744448	H6	blank			
True	16744448	H7	blank			
True	16744448	H8	blank			
True	16744448	H9	blank			
True	16744448	H10	blank			
True	16744448	H11	Sample 95			
True	16744448	H12	Sample 96			
