Experiment: 220630_melting_cgre_50acq-deg_urea8M  Selected Filter: SYBR Green I / HRM Dye (465-510)
Include	Color	Pos	Name	Tm1	Tm2	Status
True	255	A1	2880	69.59		
True	255	A2	3224	63.02		
True	255	A3	83	57.71		
True	255	A4	121	76.11		
True	255	A5	900	59.87		
True	255	A6	911	54.23		
True	255	A7	13	68.36		
True	255	A8	567	49.64		
True	255	A9	575	64.64		
True	255	A10	1414	57.27		
True	255	A11	985	77.74		
True	255	A12	626	38.54		
True	255	B1	2880	69.52		
True	255	B2	3224	63.02		
True	255	B3	83	57.77		
True	255	B4	121	75.98		
True	255	B5	900	60.33		
True	255	B6	911	54.12		
True	255	B7	13	68.66		
True	255	B8	567	49.77		
True	255	B9	575	64.51		
True	255	B10	1414	57.32		
True	255	B11	985	77.87		
True	255	B12	626	38.81		
True	255	C1	2880	69.69		
True	255	C2	3224	63.04		
True	255	C3	83	57.81		
True	255	C4	121	75.98		
True	255	C5	900	60.27		
True	255	C6	911	54.34		
True	255	C7	13	68.56		
True	255	C8	567	49.48		
True	255	C9	575	64.57		
True	255	C10	1414	57.32		
True	255	C11	985	77.77		
True	255	C12	626	38.59		
True	255	D1	2880	69.67		
True	255	D2	3224	62.89		
True	255	D3	83	57.64		
True	255	D4	121	75.47		
True	255	D5	900	59.51		
True	255	D6	911	54.65		
True	255	D7	13	68.33		
True	255	D8	567	49.57		
True	255	D9	575	64.75		
True	255	D10	1414	57.35		
True	255	D11	985	77.80		
True	255	D12	626	38.82		
True	255	E1	2880	69.64		
True	255	E2	3224	62.86		
True	255	E3	83	57.83		
True	255	E4	121	75.68		
True	255	E5	900	60.25		
True	255	E6	911	53.36		
True	255	E7	13	68.21		
True	255	E8	567	49.44		
True	255	E9	575	64.77		
True	255	E10	1414	57.12		
True	255	E11	985	77.51		
True	255	E12	626	37.75		
True	255	F1	1338	59.72		
True	255	F2	1338	59.84		
True	255	F3	1338	59.84		
True	255	F4	1338	59.86		
True	255	F5	1338	59.87		
True	255	F6	9708	68.71		
True	255	F7	9708	68.76		
True	255	F8	9708	68.77		
True	255	F9	9708	68.85		
True	255	F10	9708	68.76		
True	16744448	F11	Sample 71			
True	16744448	F12	Sample 72			
True	255	G1	4111	68.35		
True	255	G2	4111	68.35		
True	255	G3	4111	68.33		
True	255	G4	4111	68.25		
True	255	G5	4111	68.36		
True	255	G6	wt	62.16		
True	255	G7	wt	62.24		
True	255	G8	wt	62.20		
True	255	G9	wt	62.25		
True	255	G10	wt	62.20		
True	16744448	G11	Sample 83			
True	16744448	G12	Sample 84			
True	255	H1	132	66.98		
True	255	H2	132	67.00		
True	255	H3	132	67.02		
True	255	H4	132	67.04		
True	255	H5	132	67.00		
True	16744448	H6	blank			
True	16744448	H7	blank			
True	16744448	H8	blank			
True	16744448	H9	blank			
True	16744448	H10	blank			
True	16744448	H11	Sample 95			
True	16744448	H12	Sample 96			
